"","family member","close friend","partner_spouse","indian citizen","somebody from your neighborhood","co_worker","foreign citizen","member of opposing political party","somebody with different religious beliefs","prime minister of india","indian soldier","charity worker","homosexual","mentally challenged individual","refugee","murderer","terrorist","child molester","chimpanzee","dolphin","cow","chicken","fish","bee","banyan tree","apple tree","rose bush","mountains","forest","river","sum_of_rows_e"
"1",3,3,3,2,3,2,2,2,2,2,3,2,1,2,2,0,0,0,1,1,2,1,1,1,2,0,1,1,1,2,48
"2",3,3,3,2,2,2,2,1,1,1,2,2,2,2,2,0,1,0,2,2,2,2,2,2,2,2,1,1,1,2,52
"3",3,3,3,2,2,3,2,2,2,2,3,3,2,3,2,0,0,0,2,2,2,2,2,1,3,3,3,2,3,3,65
"4",3,2,3,1,2,2,1,0,1,1,2,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,32
"5",3,3,3,3,2,2,2,1,3,2,3,2,3,3,3,2,2,3,3,3,3,1,1,1,3,3,2,2,3,3,73
"6",3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,0,0,0,1,1,2,1,1,1,1,1,0,2,3,2,51
"7",3,3,3,3,2,2,0,2,1,3,3,2,2,2,1,0,0,0,2,1,2,0,1,0,2,2,1,0,2,1,46
"8",3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,0,0,0,2,2,3,2,2,3,3,3,3,3,3,3,74
"9",3,2,3,2,2,1,2,2,2,3,2,2,1,1,1,0,0,0,2,2,2,0,1,1,1,1,0,1,1,2,43
"10",3,3,3,3,2,2,2,2,2,3,3,2,0,1,2,0,0,0,1,1,3,0,1,1,2,2,1,2,3,3,53
"11",3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,1,0,2,1,1,1,1,1,0,0,0,0,1,1,51
"12",3,3,3,2,2,2,2,2,2,2,3,2,2,1,0,0,0,0,0,2,2,2,2,2,2,1,1,1,2,2,50
"13",3,2,3,2,1,1,1,1,2,2,3,2,2,2,1,0,0,0,1,1,1,0,1,1,1,2,1,1,2,2,42
"14",3,3,3,2,2,2,3,1,2,2,3,2,2,3,2,0,0,0,1,2,2,1,1,0,1,2,0,1,1,1,48
"15",3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,55
"16",3,2,3,0,1,1,1,0,1,0,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,28
"17",3,3,3,1,2,2,1,1,2,1,2,1,2,2,1,0,0,0,1,1,1,1,1,1,2,1,1,2,2,2,43
"18",3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,1,1,2,2,1,1,2,1,52
"19",3,2,3,2,1,1,1,2,2,0,1,1,1,2,1,0,0,0,2,1,1,1,0,0,2,1,0,0,1,1,33
"20",3,3,3,3,2,2,2,1,1,3,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,0,0,2,2,47
"21",3,3,3,2,2,2,3,2,2,2,3,2,3,3,3,0,0,0,2,2,2,1,1,1,2,2,0,2,2,3,58
"22",3,3,3,2,1,2,2,1,2,1,2,1,2,1,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,32
"23",3,3,3,1,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,33
"24",3,3,3,1,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,33
"25",3,3,3,3,2,3,2,2,2,3,3,2,1,2,2,1,0,0,2,2,2,1,1,2,2,2,2,2,3,2,60
"26",3,3,3,1,2,2,1,1,2,1,2,2,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,40
"27",3,3,3,2,2,2,2,2,2,3,3,2,3,3,3,1,0,1,2,3,3,2,2,2,2,2,2,3,3,3,69
"28",3,3,3,1,2,2,1,2,2,2,2,1,1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,43
