"","univ1","univ2","univ3","univ4","univ5","univ6","univ7","univ8","univ9","ben1","ben2","ben3","ben4","ben5","ben6","grand_mean"
"1",6,5,5,4,4,4,4,4,3,5,5,4,4,5,5,4.46666666666667
"2",6,3,5,5,4,5,5,5,5,6,6,5,5,4,4,4.86666666666667
"3",4,4,5,4,3,4,4,5,5,5,5,4,4,6,5,4.46666666666667
"4",5,6,5,6,5,6,3,6,5,5,5,5,4,6,5,5.13333333333333
"5",6,4,4,5,5,5,6,6,5,6,6,6,5,6,3,5.2
"6",5,4,5,6,5,5,5,5,5,6,5,4,2,5,2,4.6
"7",6,6,6,6,5,5,3,5,6,5,6,5,5,5,6,5.33333333333333
"8",6,6,6,6,6,6,6,6,1,6,6,6,6,6,2,5.4
"9",5,4,4,4,6,5,4,4,3,5,5,6,5,5,6,4.73333333333333
"10",6,6,6,6,5,5,4,5,4,5,6,5,5,5,5,5.2
"11",5,4,5,5,6,6,6,6,5,6,6,5,3,5,6,5.26666666666667
"12",5,5,5,5,5,4,3,6,5,4,6,4,6,3,5,4.73333333333333
"13",6,5,6,4,4,6,3,5,3,6,6,5,4,6,4,4.86666666666667
"14",5,3,3,5,5,4,5,5,5,4,5,3,5,4,4,4.33333333333333
"15",4,3,4,5,5,5,5,6,4,5,5,5,5,5,4,4.66666666666667
"16",5,5,5,5,2,2,5,5,5,6,6,6,5,5,5,4.8
"17",5,3,3,3,4,4,4,4,5,5,5,5,5,6,6,4.46666666666667
"18",6,6,6,2,6,6,5,5,5,5,4,4,4,6,6,5.06666666666667
"19",6,6,6,6,6,6,6,6,5,6,6,6,4,5,6,5.73333333333333
"20",5,4,4,6,5,5,5,5,5,4,5,5,6,6,6,5.06666666666667
"21",6,4,5,6,4,6,5,5,6,6,6,5,4,6,3,5.13333333333333
"22",4,3,3,5,6,5,5,5,4,6,6,6,5,6,6,5
"23",5,5,5,6,6,6,4,6,4,6,6,6,3,6,5,5.26666666666667
"24",5,3,5,5,5,6,6,4,3,6,6,5,5,3,5,4.8
"25",5,4,5,5,5,5,4,4,4,6,5,5,5,6,5,4.86666666666667
"26",4,3,3,5,5,5,2,6,5,6,6,5,4,5,5,4.6
"27",4,4,5,5,4,5,4,5,5,6,5,5,5,6,6,4.93333333333333
"28",4,4,4,5,3,5,6,6,5,6,6,5,5,6,5,5
