"","univ1","univ2","univ3","univ4","univ5","univ6","univ7","univ8","univ9","ben1","ben2","ben3","ben4","ben5","ben6","grand_mean"
"1",4,4,4,4,3,4,3,4,4,6,5,5,3,4,4,4.06666666666667
"2",6,5,6,6,5,5,5,6,5,6,6,6,6,6,6,5.66666666666667
"3",3,2,3,3,4,5,2,4,3,6,5,5,5,6,5,4.06666666666667
"4",6,6,6,5,4,6,5,4,6,6,5,6,6,6,5,5.46666666666667
"5",5,4,5,5,5,4,6,5,5,5,5,5,5,5,6,5
"6",5,4,5,6,5,6,5,5,6,6,6,5,5,5,3,5.13333333333333
"7",6,6,5,5,6,5,4,5,6,4,5,4,3,6,6,5.06666666666667
"8",6,6,6,5,6,6,6,6,3,6,6,6,6,6,1,5.4
"9",6,5,NA,6,5,6,4,6,4,6,5,6,6,6,5,5.42857142857143
"10",5,5,5,4,6,5,5,5,3,6,5,5,5,6,6,5.06666666666667
"11",5,5,5,4,5,6,5,6,5,5,5,6,5,5,6,5.2
"12",5,5,5,5,6,6,6,6,5,6,6,5,6,6,6,5.6
"13",6,5,6,5,5,4,5,5,2,6,5,6,5,5,4,4.93333333333333
"14",4,3,4,4,3,4,4,4,4,4,5,4,4,3,3,3.8
"15",4,4,5,4,4,5,5,5,4,6,6,5,6,6,5,4.93333333333333
"16",5,5,5,4,1,2,3,4,4,6,6,6,6,4,6,4.46666666666667
"17",4,4,4,4,4,4,4,4,3,5,5,4,5,5,5,4.26666666666667
"18",6,5,6,6,6,6,5,5,5,6,6,6,5,5,4,5.46666666666667
"19",6,6,6,6,6,6,6,6,4,6,6,6,6,6,5,5.8
"20",5,4,5,6,6,5,6,5,5,6,5,6,5,6,6,5.4
"21",6,6,6,6,4,5,6,5,6,6,6,6,6,6,3,5.53333333333333
"22",5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5.66666666666667
"23",6,5,6,6,6,6,6,6,5,6,6,5,6,6,6,5.8
"24",5,4,5,5,5,5,5,3,2,6,6,6,6,5,6,4.93333333333333
"25",5,4,6,5,5,5,5,5,4,6,6,5,6,6,5,5.2
"26",5,4,5,5,5,5,5,4,5,6,6,6,5,5,5,5.06666666666667
"27",4,4,5,4,5,3,4,5,5,5,6,6,5,5,5,4.73333333333333
"28",3,3,3,2,4,4,4,4,4,5,6,4,4,5,4,3.93333333333333
